"","nrounds","max_depth","eta","mean","sd","n","std_error","conf_level","conf_low","conf_high"
"1",100,3,0.05,0.910945142321661,0.0231091360865965,5,0.0103347198381846,0.95,0.882251360013342,0.939638924629979
"2",100,6,0.05,0.913608535572098,0.0300014415814051,5,0.0134170525598021,0.95,0.876356825666254,0.950860245477942
"3",200,6,0.1,0.926946038332678,0.025231958540004,5,0.0112840749001811,0.95,0.895616423809385,0.958275652855971
"4",100,4,0.1,0.920985105094417,0.0248094421949134,5,0.0110951198463356,0.95,0.890180113905475,0.951790096283358
"5",200,3,0.05,0.916591139010167,0.0276009031817765,5,0.0123434991509685,0.95,0.882320091211448,0.950862186808887
"6",200,4,0.05,0.922423632646305,0.0247197748101049,5,0.0110550193727763,0.95,0.891729978220893,0.953117287071716
"7",200,3,0.1,0.918273579559005,0.0298609483749498,5,0.0133542220877999,0.95,0.881196315009608,0.955350844108401
"8",200,6,0.05,0.921157904356285,0.028568323777339,5,0.0127761427938707,0.95,0.885685645232935,0.956630163479635
